RefDes,MPN,Manufacturer,Qty,Description,Alternate,Supplier,Quote,Link
W60,39-01-2040,Molex,1,"Connector Housing, 2 pos",39012040,Avnet,0.12474 USD,https://octopart.com/opatz8j6/a1?t=DUEsVcTjHg75ypg2xBgB3H-86xqw5TXvZl9tjqHC1ssCWafjoY0ERbjWWtG_baBvzdEH28GzxAh4rme9kjazNn4G8L3jWO7F_6bfVUcGJh6vFn-g-zsECnnEIOSiCSrXVP9Kk3UsRaOep-yV_FTdqJFx5Y0o0n9Vn3mbKRT7oYa5JE5pb-7dES2IoMQv5gYADcrBM6Lm-_RnQXrq7Vwmu0fPMq8xuKh6G3unjCuC2Em67xkEx_BXEYtZaTpZsEbNTQ
W94,39-01-2025,Molex,5,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10312 USD,https://octopart.com/opatz8j6/a1?t=mWwwm4r7WmIdkbTf8bk6tavpzOtc56W0pPv3JoVS3KKKKVI0OI3yBTiIJrmP8OUP4QAwvzFk1xPFczp1wwV7qaSDug3GBlgL4eTwba5TKAWwqk1wUv0tQmIU9cC7PVwKszVl0L53GiFjLkA_5487Sdvy7vUdnUFpO5Exv2Od_NRlkTyzKgIBeaq_eJ7poMv0PnbhmeyTqBZa2pU7nUHz5w3JgvZHRHdTFsiiqKESI6-uLpcyfy_S8RSG6ClV48__Wbc
W36,,,1,Unspecified wire (TBD),,,,
W85,RNF-100-3/16-BK-SP-SM,TE Connectivity / Raychem,4,"Heat shrink tubing, 3/16"" black",RNF-100-3/16-BK-SP,DigiKey,1.05853 USD,https://octopart.com/opatz8j6/a1?t=krOXh17H_MN4JCKK6ETO5GFj6yZm6-2u8vcESDnTtwM3JMjNkQSMVSITdfFm10ARDn886qYckMwT9e2EAHLUY965b7ADLiKTVXVrNRekTrbZ5GSMxEOVxbK5zP_0vVThf6qFxiVJhDdSaTqun8CZiXSqgNZvoZOD_5ejmqOvizXZBgcErrlYAqN4fI-HAcWgZKfwFndiY41ArPVwd2Ok1qoE2t0EAdeWufM5eJ5vCPWo-9UR-ap26yBVo8Imb6c3UBGRzfo
J62,39-01-2040,Molex,3,"Connector Housing, 2 pos",39012040,Avnet,0.11501 USD,https://octopart.com/opatz8j6/a1?t=64eLsA4N9hnUDFSRbiQgSDFc0gBkjrdmqGySIPR7xKm_sXmp6OMtgtamBeUp7oc8H7TsNyuyUOSkvr9-O-1b5_ZQVhzpkbaN1tpKEtWafED5z2G-xkYS0wJBgZeI9v8zGHLVqeHUIOOP20_FBvmQUGFcAwgRE14SkeBzMbL1yfR3mSpc5TnKpJG56bWCfXIqoBOpyGQrZFx3Qkd5TLowRbzivDNP6mwAKMV0oZVnj6ow4H5ljuGsPH1MBn1i7GbYWA
LBL37,CUST-WIRE-14AWG-BLK,Customer-Supplied,5,"14 AWG wire, black, stranded",,,,
LBL77,CUST-WIRE-14AWG-RED,Customer-Supplied,3,"14 AWG wire, red, stranded",,,,
J64,123456,Brady,5,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=4ZyWRFEcSRZNeEG6cEp_ey3vcwpZV44koAMqaJBlDT2sS69waQMzicsjcMle7kTwZfqTF-o52qNRERbtVs6qR204KnlqFhoZrI5B5sqQxXPPz92XkOTBQVCep5yyWX9VV5sxZK1ZaxN4wo5-Jt2xJw2tPdfRNVuyjD7CKVDmdEBblqD11A9XxIx7SwiXr9YktTyA4MSOqeLnVs1x2uoL2f4p4WToXH6siDADkS-6BRGKUNse_16dtC9_wI7GPBBLIOziUCs
T36,171864-0000,TE Connectivity,1,"Terminal, 22-18AWG, tin",,,,
LBL99,A-2186-2,Brady,3,"Label, 1"" x 0.5"" poly",,,,
T20,171864-0000,TE Connectivity,2,"Terminal, 22-18AWG, tin",,,,
HS64,,,1,Unspecified wire (TBD),,,,
T91,CUST-WIRE-14AWG-RED,Customer-Supplied,2,"14 AWG wire, red, stranded",,,,
W43,CUST-WIRE-14AWG-RED,Customer-Supplied,4,"14 AWG wire, red, stranded",,,,
J75,CUST-WIRE-14AWG-BLK,Customer-Supplied,1,"14 AWG wire, black, stranded",,,,
J95,CUST-WIRE-14AWG-RED,Customer-Supplied,1,"14 AWG wire, red, stranded",,,,
T39,,,3,Unspecified wire (TBD),,,,
W83,171864-0000,TE Connectivity,5,"Terminal, 22-18AWG, tin",,,,
W16,CUST-WIRE-14AWG-BLK,Customer-Supplied,5,"14 AWG wire, black, stranded",,,,
HS85,39-01-2040,Molex,5,"Connector Housing, 2 pos",39012040,Avnet,0.11031 USD,https://octopart.com/opatz8j6/a1?t=rsgQgFA7jEzoPKsGIBaUPKoDqc2Q8OO3GAr15-HO0rxTwi6ELqe9_dpqQIROr_gSmvVYEuJfZ1SMkEleqOYkfb_7fdOF9Vg-cIn6z5eetEkLfduRNm-_tkBU8JmNA7zqn2uJ4YMckYGW7D9oZwE46tAVtzJoHYavK0YqBbOY-XInAG5_ykdSTAhm0PGrk3PT2B98yOKjP1xwkBFdz8PZEK68DAGSe-ebD6MxXBv--A1oFcdCq-FTpWflipfnqp65uA
T54,39-01-2040,Molex,1,"Connector Housing, 2 pos",39012040,Avnet,0.12474 USD,https://octopart.com/opatz8j6/a1?t=oXaVKat807xHR_E6Tvz0VVpBtkmG2cygPT2PaaIaAq35wsu7d8MSu5_eYKBkCg6wP_-l3UAWz763cfwhyMMDNIPCFmVT0NoJjKYnBfq4Vk5emUOoLGxtXDo0wQhTOV9V0GJ9UhnQ-qyKSD_kUox4ribvgVZq1D7zRJlJqhzFeSLoEw4b20jS5s8Q9XOMllIWjDTMqkkp3GWGg7gAqn_ZdlFAZqaECM0D1toEwUiOSMacIb2XZsVsR2VxtUCXPuvIPw
W32,39-01-2040,Molex,2,"Connector Housing, 2 pos",39012040,Avnet,0.12474 USD,https://octopart.com/opatz8j6/a1?t=ynm7bMwYZf4EIVZr-xkYSDTvXf_aiR7FMDc7OpQ2Hh5EyUbps_-wy8VBSuagOm-TSgsyWpHzuCbhxMgLCwX_ALsBuFdNCtb8aQ5fhtOLILEUWnQzYgK1RWU4n7QxCPZApcdshRISu91P2GEMzEAQ9ycDcVLpoBad8E58Bd0WDsmQV4_eABkw8dZjZpLXcgd3yjOCqHdlYf9XlmVuwn9vYP-nvZHnAXfAk7PO-fSJr6fnciDCZ-kX2wclx77qQhQPHA
HS13,770520-1,TE,3,"Terminal, 18-16AWG, tin",,DigiKey,0.14 USD,https://octopart.com/opatz8j6/a1?t=KLLmc26d2wulO2obAkMZwBl6pu63B0nTHLZ7R7YNVauJWU_GzKHD9YYOaS36HycCajUEbLCboGw3fNjkwYL3peVfDpisJzazNN7aocIy9TDSKbeIUasOct3LXLHPFSuMN9T4FgFhKrrMykNrEr0GrsRU1aMPdtXwBi0zeYH-JtRPOwoUARrzjaeI4dZv2zq7xzo1jE6KxqfAIzHpfqmp3ItijNQux-86CKRNaE2ocoAaX3wd0MziEQv8PYDDUUcvPPqv-vk
LBL67,RNF-100-3/16-BK-SP-SM,TE Connectivity / Raychem,5,"Heat shrink tubing, 3/16"" black",RNF-100-3/16-BK-SP,DigiKey,1.05853 USD,https://octopart.com/opatz8j6/a1?t=F-5reODW4Chj5bOTbfcK0RIgc8JxgGVTXjWdiaT0U_cpi8sBWXmnidVnc-_XB6RMaTIKtQ0VEY-Rg_I03Wju3eWUcfcuFvbWfOmQBSuxkJ7EWrTNDMJGFJXFF96VnH6pCZ9BbB3AhZV44eJ0FYiGQeJqLXyPcVOgW2E84d4g4cEo4zdrAAffafqImdeni1OeGc8JbtL0xPgAEY0U8BcyPoVchLsF0U23OeR7BGKaWpql-HCrz1iBZyP1sz1MAFbIox5ehQo
T35,CUST-WIRE-14AWG-RED,Customer-Supplied,3,"14 AWG wire, red, stranded",,,,
T58,39-01-2025,Molex,4,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10497 USD,https://octopart.com/opatz8j6/a1?t=WiHvtHG-vlPbWEtwOPYu-7cujisEkT3ZRwTznCM7m2n7O76QpSKDxtJTrY98Pb9wLNGu3396g7Efk9W6LMGSUG3yAkjKgOrGg5KlQnLmGEQMKmKaqyrr34ODMX9nZ_TdCd4cFyw_I_GcU4WmolMbcPVPYOGgYytdSaaw7CcEPDkpvfjvg2EWyojO4XePSW-N7IQqNaZncfsfMSJY2-3-bNdLBikh16ylXoRpRH9MgZYRoGCc-tK5e_SKA4JSps_TDLc
LBL74,39-01-2025,Molex,3,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10497 USD,https://octopart.com/opatz8j6/a1?t=dtv27nxlaRcLN_P-JgQB3-u34vyNPQCxUEyY0dZw3DsjkJKx4JfM9Krvj4BbKx5Oq1BX8vxZt1_-Wfwj_eNk7TQ9ssg6-ETAzajtoxhA62nEH2_xHInVo8j1-wUuFFksQPk62399v6x2MrexZpKd7N7MFJbQszV-lmqGw1jkxJv2IEczkP9zYebJYonGgW9foy1hfUqngUWD_wmcCHZZEo-ZoAverzfOimrb2axVWatIAIVamWkegAldpZE5netBb7o
T90,123456,Brady,2,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=IyzfmDpTiAlL6YW-LbiNhkLmOl1Pwgsyg5N1QfFkZyxp2Gqim7kjJfUIswQMEAPejhAqzqcjVgUxvL-UxM67TZrmzPwd2QOiC-60NtkHQFZSdd4xeT0c0l_UNPhsMCsjwNQbTxPgke2zxCwbKB77KRfHCMZs8uxwVUPWTlcl8DpCvVFkW180tOKnYJljQ4p60MbqTrzl9NG7X9sq6g57lXGzIVFjbtl02V8N11BLAmv8MkSuxYRzDosULlxjxj59LsNfIJY
HS2,39-01-2040,Molex,4,"Connector Housing, 2 pos",39012040,Avnet,0.11501 USD,https://octopart.com/opatz8j6/a1?t=N-mK26eL2pVwp1WTyeDgXrL6gS_MVC__K1JnYqw5e5G_Lhm-ggNboZY2azf-xJ5WoclfxS2DA_EZqB7NVMAuC7K1Pc0sNNnkl55xnMIVHBN6JDSQlBoF8A-CLLaE73qBpxRhB5xVxpvr4Sx1FkbxHf8ZIQlBMIVfGxcL3IohPmvUhAImfq-Xvtko4-d0td7mHHpaM5mSK92C5QbeuubNM8cqQMGntRk1Q-6Snx_VRHDdftBgYwRqqvROaC9mvK901A
HS40,39-01-2040,Molex,5,"Connector Housing, 2 pos",39012040,Avnet,0.11031 USD,https://octopart.com/opatz8j6/a1?t=SrZJ2IqumUb5vGJl9FuybYsVF6U9g6TqJcc1v5zcoIMNXSHAeC_5w9bieJEYY4y6NlfGN1lWuHPq10vXrZ9ZSbfoIWdIZnFpXL8J9yjUcHeameediIXkomaAUkqs40Da1HHp2u4BtjI692y9ooPBFdJD0wIuAxwhUw83Zfsu7OEPR8pOzU-6Ws5oSfZNqzL5G0eHyjFobgc7LswobLS70vl1NZJhYmsCNU0gKMEtawXUemk9ZEB6Pmj2QIxfy7Pe7w
W97,39-01-2040,Molex,2,"Connector Housing, 2 pos",39012040,Avnet,0.12474 USD,https://octopart.com/opatz8j6/a1?t=_FtKsP94yO8hjsLhyyEC6XPalDRVnvbAH9zHs046EgU0HP7UGF5x6XGflsxont1-qOmV46T4EOWU9E_SmoIIs6BgMKTa9XVbMFBkjaKji8Og7BMwEMH_4xpbFkmG3XGb7-oumWPQXvsa22LcaSpWuq8HkC6ikuT671WMVK-EThQImN8i1hrjUG_HoXbzuZdNy7YQLj-vtUGtgckSHZW1D6vkuKXfzx28GgnfTdpJrS6N4DNXcMNYntfZb7GW8EakbA
J35,RNF-100-3/16-BK-SP-SM,TE Connectivity / Raychem,4,"Heat shrink tubing, 3/16"" black",RNF-100-3/16-BK-SP,DigiKey,1.05853 USD,https://octopart.com/opatz8j6/a1?t=qMlKgzfAJS7h43RzObjs_VMPVfx0Gw-oFAA0B70ENjnujLHfauPNE2bcQE6SXu7C2U0vICc8f1QaRhHwscDnaOd94VIFBXUv7i_1Tq2tHQE1y6I3QhDJmfmZP-AVHn4CkCvgfIlT0TCGj57MCabOXlkPpeD64TJ_YT-Ojp1H84WICb3y3b1z2P8-97-6rbdUM-G0lb5-FUrugEx09tmH8p3d-S_NllqESuCux0SV7dpR-ZXB0FztH2RVPcL-h3tj5YKE48w
W6,CUST-WIRE-14AWG-RED,Customer-Supplied,1,"14 AWG wire, red, stranded",,,,
HS85,123456,Brady,3,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=67R4mZBqhiepoCZ16e1THx58YicAay9o3MGCMuFiPmXOhSWn6lHcLr1TgpJcgFoZsif0PkIom1TQM2UsN-5L3R3M728CPvZVvRaSINOE870IfTsE8fy-N3k2SOYwhK1QYlBzaH0d46rkf_ilUvgiSDbIBrxyqYmMIgwE9jIDtuJ-en2GTwkE9GyfoQ1kopqmvPir7t1A5Ri2Gzi4EjdOwJ8DtOsZZpnvbo5-lxHaTIXGHyqGTyo4GuiQPaswvDQAJZ7SUP8
W53,CUST-WIRE-14AWG-BLK,Customer-Supplied,4,"14 AWG wire, black, stranded",,,,
T78,A-2186-2,Brady,2,"Label, 1"" x 0.5"" poly",,,,
W75,39-01-2040,Molex,4,"Connector Housing, 2 pos",39012040,Avnet,0.11501 USD,https://octopart.com/opatz8j6/a1?t=FpgamGRVtyIKP7Kg3wSUl2qWvCaax7sN2AwDOyYXYMfPbcp6nfeCbq-Ejuvc51fvIUcImutv2zLMXdsPV5i49aP8hUGvTOCIEvAycmftcp0xoptLJ-jKZ425lvUPfrVQSdpBIFmxL02dSWnf8WIMNEKspEUPjse3NFQ-MmDxSdZqv143dEmufUrMPSdKhjsZVNpXrziywZbxPBUJhJThSVli9IbkdDkoHF0gtqtDPmbfC6-JBQnBQp3KEGVPkC_qsg
HS50,CUST-WIRE-14AWG-BLK,Customer-Supplied,5,"14 AWG wire, black, stranded",,,,
J73,39-01-2025,Molex,5,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10312 USD,https://octopart.com/opatz8j6/a1?t=Jd6BHU_aLA5bMNBBcp2KqGTf7U0nrL073_EcXebs1kvcH36KKX9uwql38g2_w64w4vFcvM5nJWlZ2IuFcgQlthn1B-NZxtVsTgyTU9tCItzvvvWfSVuZxlifuRdtJ1yoWIxNZP1CBRheDzrGQF3uO9aP58eG1YrB6lY3w-UirZ2n3DMeDKY9FNcz8xTgG3RFHpinzMzjrlRxDPHxk-ZNcgYU_JqTwjn10cJb6cu3JWiA0VTr7S5JF06jIPUOW7zSNaE
J85,123456,Brady,2,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=-VJob0kfdZGcWTG2eleFdr1pzZCjKyHM4HuuTfYLh71KfU-ayYedDel6nCk2RnHzmEDX_D8_xjYXQVVLLBoVRyE4ca4mCc9Q1RZktS5m1GwALLui2vxFWALHYLdD8Rdm9PhPZV4lmfKgQD-YNQwpgGppXhDXrqN5SUsp_acfUocMRcDoTaZ_IjDXMSJ-yLN4c8HeLJgLv36Y_koQMLnjzCQEIdIF91ZjjJYW6WprhHrR-6z_LrOHdsk5xTaGfZGEVH8iAkU
W34,RNF-100-3/16-BK-SP-SM,TE Connectivity / Raychem,3,"Heat shrink tubing, 3/16"" black",RNF-100-3/16-BK-SP,DigiKey,1.05853 USD,https://octopart.com/opatz8j6/a1?t=wBp8PVI9Ij1gIgvhFolpAhh5In5oKsCF6VQKerURcFZGej3hwfuALrNRUagQoylP5TzH7hrw4tR3rUyelBVActb0-bo-6aUCyYCRAWQkhL5KCsE5JawPakdcTUznURFboTQ6hy-KLvLmvUK47KvURZd8UIr-7bAa2WZvrjJl_FkhbkXUp-pVDPzSUfyEiW4OyGGKMBQr-dhFZAsbU1o-GOJnIjkl-x5yrQQZY0wHxdnQ4yzeKRIDtz16qLQzVbelYfcDS0Y
W24,39-01-2025,Molex,4,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10497 USD,https://octopart.com/opatz8j6/a1?t=SMrXiwB4ZwXC4NgEwt6QGXk1j31aQxJiokpkmYoK3Qwa313l3Ia3Df7Avb8_pqVzapAoMnlfhfdzVJMA6XuCiP5rk2km-XCs5EiQW_eUQbmDGdoww-NKOH5NrpoWYE_YkUcJYLRuDwJOrvcUPBbcHiNst772muyFzSU-ngf1002sHnwDqGjDX4fqlpdUtVOSSpDWFWYrAF_ihi_72WomLpes3T1Rs20AlglMUFt1vessz2BtL2KbFKxKXTvF8Z7fdv4
J89,CUST-WIRE-14AWG-RED,Customer-Supplied,4,"14 AWG wire, red, stranded",,,,
